id,subject,body
1,Project Update,"Hello team, this is a reminder that the next project update meeting is scheduled for Thursday at 10:00 AM. Please prepare your weekly progress summary."
2,System Maintenance,"Our IT department will perform scheduled system maintenance this Saturday from 2:00 AM to 6:00 AM. Services may be temporarily unavailable."
3,Client Feedback,"We received new feedback from the client regarding the current prototype. They requested adjustments to the user interface and a clearer onboarding flow."
4,Meeting Follow-Up,"Thank you for attending today's meeting. Attached are the meeting notes and a list of action items for the upcoming sprint."
5,Training Session,"A mandatory training session on workplace security protocols is scheduled for next Tuesday. Please register using the link provided."
6,Onboarding Documents,"Welcome! Please submit your onboarding documents by the end of the week. Let us know if you have any questions."
7,Product Launch,"The marketing team has finalized the timeline for the upcoming product launch. More details will be shared in tomorrow's briefing."
8,Performance Review,"This is a reminder that quarterly performance reviews will take place next month. Managers will follow up with scheduling details."
9,Team Event,"We are organizing a team-building event next Friday. Participation is optional, and lunch will be provided."
10,Resource Request,"Your request for additional development resources has been received. We will review and get back to you shortly."
